prop_name,prop_proven,time,num_lemmas_attempted,num_lemmas,num_proved_lemmas,num_unproved_lemmas,proved_lemmas,unproved_lemmas,prop
./01,True,0.316206,1,0,0,0,[],[],take n xs++drop n xs == xs
./02,True,0.351207,1,0,0,0,[],[],count n xs+count n ys == count n (xs++ys)
./03,True,0.242477,1,0,0,0,[],[],count n xs<=count n (xs++ys) == True
./04,True,0.073308,1,0,0,0,[],[],S (count n xs) == count n (n:xs)
./05,True,0.077544,1,0,0,0,[],[],n == x => S (count n xs) == count n (x:xs)
./06,True,0.110804,1,0,0,0,[],[],n-(n+m) == Z
./07,True,0.109105,1,0,0,0,[],[],(n+m)-n == m
./08,True,0.113371,1,0,0,0,[],[],(k+m)-(k+n) == m-n
./09,True,0.113663,1,0,0,0,[],[],(i-j)-k == i-(j+k)
./10,True,0.025878,1,0,0,0,[],[],m-m == Z
./11,True,0.032314,0,0,0,0,[],[],drop Z xs == xs
./12,True,0.07863,1,0,0,0,[],[],drop n (map f xs) == map f (drop n xs)
./13,True,0.043802,0,0,0,0,[],[],drop (S n) (x:xs) == drop n xs
./14,True,0.195854,1,0,0,0,[],[],filter p (xs++ys) == filter p xs++filter p ys
./15,True,0.034547,1,0,0,0,[],[],len (ins x xs) == S (len xs)
./16,True,0.016399,0,0,0,0,[],[],xs == [] => last (x:xs) == x
./17,True,0.021035,0,0,0,0,[],[],n<=Z == n==Z
./18,True,0.05571,1,0,0,0,[],[],i<S (i+m) == True
./19,True,0.084373,1,0,0,0,[],[],len (drop n xs) == len xs-n
./20,False,4.147263,7,3,3,0,"['m<=m == True', 'm<=S m == True', 'S m<=m == False']",[],len (sort xs) == len xs
./21,True,0.062306,1,0,0,0,[],[],n<=(n+m) == True
./22,True,0.029741,1,0,0,0,[],[],max (max a b) c == max a (max b c)
./23,True,0.028395,1,0,0,0,[],[],max a b == max b a
./24,True,0.052913,1,0,0,0,[],[],max a b==a == b<=a
./25,True,0.0525,1,0,0,0,[],[],max a b==b == a<=b
./26,True,0.110615,1,0,0,0,[],[],elem x xs == True => elem x (xs++ys) == True
./27,True,0.11113,1,0,0,0,[],[],elem x ys == True => elem x (xs++ys) == True
./28,True,0.094169,1,0,0,0,[],[],elem x (xs++(x:[])) == True
./29,True,0.043922,1,0,0,0,[],[],elem x (ins1 x xs) == True
./30,True,2.204218,12,10,10,0,"['elem (S m) (ins Z ms) == elem (S m) ms', 'elem (S m) (ins m ms) == elem (S m) ms', 'elem m (ins m ms) == True', 'ins Z (ins m ms) == ins m (ins Z ms)', 'm==S m == False', 'm==m == True', 'm==n == n==m', 'S m<m == False', 'm<S m == True', 'm<m == False']",[],elem x (ins x xs) == True
./31,True,8.179479,11,5,5,0,"['min (min m n) (min n o) == min m (min n o)', 'min m (S m) == m', 'min m (min m n) == min m n', 'min m m == m', 'min m n == min n m']",[],min (min a b) c == min a (min b c)
./32,True,0.022203,1,0,0,0,[],[],min a b == min b a
./33,True,0.049853,1,0,0,0,[],[],min a b==a == a<=b
./34,True,0.049994,1,0,0,0,[],[],min a b==b == b<=a
./35,True,0.01986,0,0,0,0,[],[],dropWhile prop_35_lambda xs == xs
./36,True,0.017366,1,0,0,0,[],[],takeWhile prop_36_lambda xs == xs
./37,True,0.048174,1,0,0,0,[],[],not (elem x (delete x xs)) == True
./38,True,0.141931,1,0,0,0,[],[],count n (xs++(n:[])) == S (count n xs)
./39,True,0.2741,0,0,0,0,[],[],count n (x:[])+count n xs == count n (x:xs)
./40,True,0.03445,0,0,0,0,[],[],take Z xs == []
./41,True,0.066823,1,0,0,0,[],[],take n (map f xs) == map f (take n xs)
./42,True,0.039999,0,0,0,0,[],[],take (S n) (x:xs) == x:take n xs
./43,True,0.236147,1,0,0,0,[],[],takeWhile p xs++dropWhile p xs == xs
./44,True,0.164816,0,0,0,0,[],[],zip (x:xs) ys == zipConcat x xs ys
./45,True,0.046405,0,0,0,0,[],[],"zip (x:xs) (y:ys) == (,) x y:zip xs ys"
./46,True,0.032746,0,0,0,0,[],[],zip [] xs == []
./47,True,2.246299,7,6,6,0,"['height (mirror xt) == height xt', 'mirror (mirror xt) == xt', 'max m (S m) == S m', 'max m (max n o) == max n (max m o)', 'max m m == m', 'max m n == max n m']",[],height (mirror a) == height a
./48,True,0.10316,1,0,0,0,[],[],not (null xs) == True => butlast xs++(last xs:[]) == xs
./49,True,0.423126,1,0,0,0,[],[],butlast (xs++ys) == butlastConcat xs ys
